customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT,Unnamed: 12,Cost + GST,Times 1.5
3,3070,Kids Heavy Faded Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,108,8.75,18.16,16.34,14.53,13.62,KIDS T-SHIRTS,20000,,9.625,14.4375
3,3071,Youth Heavy Faded Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,90,10.75,22.31,20.08,17.85,16.73,KIDS T-SHIRTS,20000,,11.825,17.7375
3,4001,Wo's Maple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,96,7.95,16.5,14.85,13.2,12.38,WOMEN'S T-SHIRTS,7000,,8.745,13.1175
3,4001A,Wo's Maple Active Tee,100% Recycled Polyester,150 GSM,,,Regular Fit - 180 GSM,96,12.95,26.88,24.19,21.5,20.16,WOMEN'S T-SHIRTS,7000,,14.245,21.3675
3,4001G,Wo's Maple Organic Tee,100% Organic Combed Cotton,180 GSM,,,Regular Fit - 180 GSM,96,8.25,17.12,15.41,13.7,12.84,WOMEN'S T-SHIRTS,7000,,9.075,13.6125
3,4001M,Wo's Maple Marle Tee,80% Combed Cotton  20% Polyester,180 GSM,,,Regular Fit - 180 GSM,96,7.95,16.5,14.85,13.2,12.38,WOMEN'S T-SHIRTS,7000,,8.745,13.1175
3,4006,Wo's Martina Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,72,7.75,16.08,14.47,12.86,12.06,WOMEN'S T-SHIRTS,7000,,8.525,12.7875
3,4008,Wo's Mali Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,96,7.5,15.57,14.01,12.46,11.68,WOMEN'S T-SHIRTS,7000,,8.25,12.375
3,4009,Wo's Mali L/S Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Scoop Neck - 150 GSM,72,9.5,19.72,17.75,15.78,14.79,WOMEN'S LONGSLEEVES,8000,,10.45,15.675
3,4011,Wo's Shallow Scoop Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,96,7.25,15.05,13.55,12.04,11.29,WOMEN'S T-SHIRTS,7000,,7.975,11.9625
3,4019,Wo's Maple Scoop Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,84,7.95,16.5,14.85,13.2,12.38,WOMEN'S T-SHIRTS,7000,,8.745,13.1175
3,4020,Wo's Maple L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,10.25,21.27,19.14,17.02,15.95,WOMEN'S LONGSLEEVES,8000,,11.275,16.9125
3,4020A,Wo's Maple Active L/S Tee,100% Recycled Polyester,150 GSM,,,Regular Fit - 180 GSM,72,14.75,30.61,27.55,24.49,22.96,WOMEN'S LONGSLEEVES,8000,,16.225,24.3375
3,4021,Wo's Maple Curve L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,10.5,21.79,19.61,17.43,16.34,WOMEN'S LONGSLEEVES,8000,,11.55,17.325
3,4023,Wo's Maple V Neck Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,84,9.25,19.2,17.28,15.36,14.4,WOMEN'S T-SHIRTS,7000,,10.175,15.2625
3,4024,Wo's Maple Curve Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,84,7.95,16.5,14.85,13.2,12.38,WOMEN'S T-SHIRTS,7000,,8.745,13.1175
3,4025,Wo's Maple Minus Tee [8cm],100% Combed Cotton (Marles 15% Viscose),180 GSM,,,8cm Shorter - 180 GSM,84,7.95,16.5,14.85,13.2,12.38,WOMEN'S T-SHIRTS,7000,,8.745,13.1175
3,4026,Wo's Classic Tee,100% Combed Cotton,220 GSM,,,Regular Fit - 220 GSM,66,10.5,21.79,19.61,17.43,16.34,WOMEN'S T-SHIRTS,7000,,11.55,17.325
3,4027,Wo's Fine Stripe L/S Tee,100% Cotton,130 GSM,,,Crew Neck - Light Weight,66,11.25,23.35,21.02,18.68,17.51,WOMEN'S T-SHIRTS,7000,,12.375,18.5625
3,4030,Wo's Box Tee,100% Carded Cotton,240 GSM,,,Landing February,66,11.75,24.39,21.95,19.51,18.29,WOMEN'S T-SHIRTS,7000,,12.925,19.3875
3,4036,Wo's Faded Organic Rib Tee,95% Organic Cotton  5% Elastane,220 GSM,,,Slim Fit - 330 GSM,54,18.25,37.88,34.09,30.3,28.41,WOMEN'S T-SHIRTS,7000,,20.075,30.1125
3,4037,Wo's Maple Stripe Tee,100% Combed Cotton,150 GSM,,,Regular Fit - 150 GSM,96,8.95,18.58,16.72,14.86,13.93,WOMEN'S T-SHIRTS,7000,,9.845,14.7675
3,4051,Wo's Basic Tee,100% Cotton (Marles 15% Polyester),160 GSM,,,Regular Fit - 160 GSM,96,6.25,12.97,11.67,10.38,9.73,WOMEN'S T-SHIRTS,7000,,6.875,10.3125
3,4053,Wo's Maple Ringer Tee,100% Combed Cotton,180 GSM,,,Regular Fit - 180 GSM,96,8.5,17.64,15.88,14.11,13.23,WOMEN'S T-SHIRTS,7000,,9.35,14.025
3,4056,Wo's Dice L/S Tee,100% Carded Cotton (Marles 15% Viscose),200 GSM,,,Regular Fit - 200 GSM,54,9.5,19.72,17.75,15.78,14.79,WOMEN'S LONGSLEEVES,8000,,10.45,15.675
3,4061,Wo's Bowery Stripe L/S Tee,100% Combed Cotton,160 GSM,,,Regular Fit - Boat Neck,66,10.5,21.79,19.61,17.43,16.34,WOMEN'S LONGSLEEVES,8000,,11.55,17.325
3,4062,Wo's Crop Tee,100% Combed Cotton (Heathers 15% Viscose),180 GSM,,,Relaxed Fit - 180 GSM,108,7.25,15.05,13.55,12.04,11.29,WOMEN'S T-SHIRTS,7000,,7.975,11.9625
3,4062F,Wo's Faded Crop Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,108,10.25,21.27,19.14,17.02,15.95,WOMEN'S T-SHIRTS,7000,,11.275,16.9125
3,4065,Wo's Maple Faded Tee,100% Combed Cotton,180 GSM,,,Regular Fit - 180 GSM,96,11.75,24.39,21.95,19.51,18.29,WOMEN'S T-SHIRTS,7000,,12.925,19.3875
3,4070,Wo's Mock L/S Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - Mid Weight,72,9.75,20.24,18.22,16.19,15.18,WOMEN'S LONGSLEEVES,8000,,10.725,16.0875
3,4071,Wo's Martina L/S Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,66,9.95,20.65,18.58,16.52,15.49,WOMEN'S LONGSLEEVES,8000,,10.945,16.4175
