customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT
3,1183,Stock Camo Cap,100% Cotton,,,,High Profile - Flat Peak,72,7.25,18.24,16.42,14.59,13.68,CAPS/HATS,30300
3,1184,Stock 7Panel Cap,100% Cotton,,,,High Profile - Flat Peak,72,6.95,17.48,15.73,13.98,13.11,CAPS/HATS,30300
3,1185,Class Cord Rope Cap,100% Cotton,,,,Mid Profile - Flat Peak,72,7.75,19.5,17.55,15.6,14.62,CAPS/HATS,30300
3,1190,Mesh Trucker Cap,Main: 60% Cotton  40% Polyester. Mesh: 100% Recycled Polyester,,,,High Profile - Curved Peak,72,6.5,16.35,14.72,13.08,12.26,CAPS/HATS,30300
3,1191,Mesh Contrast Trucker Cap,Main: 60% Cotton  40% Polyester. Mesh: 100% Recycled Polyester,,,,High Profile - Curved Peak,72,6.5,16.35,14.72,13.08,12.26,CAPS/HATS,30300
3,1201,Boxer Briefs,95% Cotton  5% Elastane  Elastic Waistband,190 GSM,,,Form Fitting,80,8.5,21.38,19.24,17.1,16.04,UNDERWEAR,42600
3,1202,Boxer Shorts,100% Woven Cotton Body  Elastic Waistband,130 GSM,,,Relaxed Fit,80,12.5,31.45,28.3,25.16,23.59,UNDERWEAR,42600
3,1203,Wo's Rib Socks (2 Pairs),80% Mercerized Cotton  18% Polyester  2% Spandex,,,,Regular Length,70,9.95,25.03,22.53,20.02,18.77,SOCKS,42500
3,1204,Ankle Socks (2 Pairs),90% Cotton  7% Nylon  3% Elastane,,,,Ankle Length,84,6.5,16.35,14.72,13.08,12.26,SOCKS,42500
3,1205,Marle Socks (2 Pairs),82% Cotton  15% Nylon  3% Elastane,,,,Regular Length,80,6.95,17.48,15.73,13.98,13.11,SOCKS,42500
3,1206,Invisible Socks (2 Pairs),75% Cotton  22% Polyester  3% Spandex,,,,Very Low-Cut,128,5.25,13.21,11.89,10.57,9.91,SOCKS,42500
3,1208,Relax Socks (2 Pairs),90% Cotton  7% Nylon  3% Elastane,,,,Regular Length,70,8.95,22.52,20.27,18.02,16.89,SOCKS,42500
3,1209,Speckle Socks (2 Pairs),37% Wool  36% Nylon  9% Cotton  2% Elastane  16% Acrylic,,,,Regular Length,70,11.5,28.93,26.04,23.14,21.7,SOCKS,42500
3,1210,Relax Stripe Socks (2 Pairs),90% Cotton  7% Nylon  3% Elastane,,,,Regular Length,70,9.25,23.27,20.94,18.62,17.45,SOCKS,42500
3,1211,Trunks,95% Cotton  5% Elastane  Elastic Waistband,190 GSM,,,Form Fitting,80,8.5,21.38,19.24,17.1,16.04,UNDERWEAR,42600
3,1212,Briefs,95% Cotton  5% Elastane,190 GSM,,,Form Fitting,120,5.25,13.21,11.89,10.57,9.91,UNDERWEAR,42600
3,1213,Business Socks (2 Pairs),80% Cotton  17% Nylon  3% Elastane,,,,Regular Length,80,9.95,25.03,22.53,20.02,18.77,SOCKS,42500
3,1214,Knit Socks (2 Pairs),40% Merino  41% Nylon  16% Acrylic  3% Elastane,,,,Regular Length,70,16.75,42.14,37.93,33.71,31.6,SOCKS,42500
3,1215,Boxer Check Shorts,100% Woven Cotton Body  Elastic Waistband,120 GSM,,,Regular-Relaxed Fit,80,12.5,31.45,28.3,25.16,23.59,UNDERWEAR,42600
3,1216,Boxer Fine Stripe Shorts,100% Woven Cotton Body  Elastic Waistband,130 GSM,,,Regular-Relaxed Fit,80,12.5,31.45,28.3,25.16,23.59,UNDERWEAR,42600
3,1217,Slub Socks (2 Pairs),92.7% Cotton  6.3% Nylon  1% Elastane,,,,Regular Length,70,11.25,28.3,25.47,22.64,21.22,SOCKS,42500
3,1218,Logo Briefs,95% cotton 5% elastane  elastic waistband,190 GSM,,,Form Fitting,80,8.5,21.38,19.24,17.1,16.04,UNDERWEAR,42600
3,1403,Mesh Belt,100% Plaited Cord,,,,Plaited Elastic,100,13.95,35.09,31.58,28.07,26.32,BELTS,42700
3,1404,Leather Belt,100% Leather,,,,Genuine Leather,44,19.75,49.69,44.72,39.75,37.27,BELTS,42700
3,1405,Braided Leather Belt,100% Braided Leather,,,,Genuine Leather,44,31.75,79.87,71.88,63.9,59.9,BELTS,42700
3,1406,Cotton Webbing Belt,100% Cotton Webbing  Leather Trim,,,,100% Cotton,100,18.5,46.54,41.89,37.23,34.9,BELTS,42700
3,1500,ASC Coffee Cup,Ceramic Coffee Cup  325ml,,,,AS Colour Branded,48,6.25,15.72,14.15,12.58,11.79,GADGETS,50000
3,1501,ASC Drink Bottle,BPA-Free Tritan Drink Bottle  1000ml,,,,AS Colour Branded,24,10.75,27.04,24.34,21.63,20.28,GADGETS,50000
3,1502,ASC Notebook,Debossed PU Cover,,,,AS Colour Branded,140,5.25,13.21,11.89,10.57,9.91,GADGETS,50000
3,1503,ASC Pen,Matte Black  Easy-Grip Body  Ballpoint Tip  Blue Ink,,,,AS Colour Branded,1200,1.82,4.58,4.12,3.66,3.44,GADGETS,50000
3,1504,ASC Keychain,Recycled Polyester Canvas Webbing,,,,AS Colour Branded,840,5.25,13.21,11.89,10.57,9.91,GADGETS,50000
3,1505,ASC Mini BBall Set,Shatter-Proof Polycarbonate  Wide Spring Action Breakaway Steel Rim,,,,AS Colour Branded,4,42.95,108.05,97.24,86.44,81.04,GADGETS,50000
3,1506,ASC Pet Bowl,100% Melamine,,,,AS Colour Branded,30,10.75,27.04,24.34,21.63,20.28,GADGETS,50000
3,1507,ASC Utility Stool,100% Polypropylene,,,,AS Colour Branded,7,16.5,41.51,37.36,33.21,31.13,GADGETS,50000
3,1508,ASC Builders Pencil 10 Pack,Medium Lead,,,,AS Colour Branded,120,2.95,7.42,6.68,5.94,5.56,GADGETS,50000
3,1509,ASC Utility Knife,Aluminium Alloy & Stainless Steel Body  Blade & Belt Clip,,,,AS Colour Branded,100,13.5,33.96,30.56,27.17,25.47,GADGETS,50000
3,1510,ASC Tape Measure,Heavy Duty Construction  Nylon Carry Strap  Custom Black Tape,,,,AS Colour Branded,72,7.5,18.87,16.98,15.1,14.15,GADGETS,50000
3,1511,Tea Towel,100% cotton twill tea towel,200 GSM,,,Perfect for Re-branding,250,4.75,11.95,10.76,9.56,8.96,ACCESSORIES,60000
3,1512,Canvas Flag,100% Cotton Canvas,320 GSM,,,Perfect for Re-branding,150,5.95,14.97,13.47,11.98,11.23,ACCESSORIES,60000
3,1513,Canvas Pennant Flag,100% Cotton Canvas,320 GSM,,,Perfect for Re-branding,150,5.25,13.21,11.89,10.57,9.91,ACCESSORIES,60000
3,1514,ASC Squeegee,Wooden Handle  Stainless Steel Rivets  Black Replaceable Rubber Squeegee,,,,Replaceable Rubber Squeegee,26,27.95,70.31,63.28,56.25,52.73,GADGETS,50000
3,1515,ASC Palette Knife,Wooden Handle  Stainless Steel Blade & Rivets,,,,Stainless Steel Blade,290,7.25,18.24,16.42,14.59,13.68,GADGETS,50000
3,1516,Logo Sticker,Clear Gloss Vinyl,,,,Logo Sticker,1000,1.82,4.58,4.12,3.66,3.44,ACCESSORIES,60000
3,1517,Script Sticker,Clear Gloss Vinyl,,,,Logo Sticker,1000,1.82,4.58,4.12,3.66,3.44,ACCESSORIES,60000
3,1518,AS Sticker,Clear Gloss Vinyl,,,,Logo Sticker,1000,1.82,4.58,4.12,3.66,3.44,ACCESSORIES,60000
3,1519,Canvas Large Flag,100% Cotton Canvas,320 GSM,,,Perfect for Re-branding,80,7.95,20.0,18.0,16.0,15.0,ACCESSORIES,60000
3,1521,ASC Mini Baseball Set,Shatter Proof Polycarbonate  Steel Rim  100% PVC Ball,,,,AS Colour Branded,20,22.5,56.6,50.94,45.28,42.45,ACCESSORIES,60000
3,1522,ASC Corkscrew,Stainless Steel,,,,AS Colour Branded,150,9.95,25.03,22.53,20.02,18.77,ACCESSORIES,60000
3,1523,ASC Lanyard,100% Recycled Polyester Webbing,,,,AS Colour Branded,1200,3.25,8.18,7.36,6.54,6.14,ACCESSORIES,60000
3,3001,Organic Infant Wee Tee,100% Organic Cotton Rib,200 GSM,,,Regular Fit - 200 GSM,144,7.75,19.5,17.55,15.6,14.62,KIDS T-SHIRTS,20000
3,3003,Organic Infant MiniMe OnePiece,100% Organic Cotton Rib,200 GSM,,,Regular Fit - 200 GSM,144,8.5,21.38,19.24,17.1,16.04,KIDS T-SHIRTS,20000
3,3005,Kids Staple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,108,5.95,14.97,13.47,11.98,11.23,KIDS T-SHIRTS,20000
3,3006,Youth Staple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,108,6.75,16.98,15.28,13.58,12.74,KIDS T-SHIRTS,20000
3,3007,Kids Staple L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,7.25,18.24,16.42,14.59,13.68,KIDS LONGSLEEVES,21000
3,3008,Youth Staple L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,7.75,19.5,17.55,15.6,14.62,KIDS LONGSLEEVES,21000
3,3009,Kids Barnard Tank,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,108,5.75,14.47,13.02,11.58,10.85,KIDS T-SHIRTS,20000
