sku,style_code,colour,size,front_filename,back_filename,local_front,local_back,cdn_front,cdn_back
9401042480521,ZC525,Orange/Navy,92,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480538,ZC525,Orange/Navy,97,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480545,ZC525,Yellow/Navy,102,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480552,ZC525,Yellow/Navy,107,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480569,ZC525,Yellow/Navy,112,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480576,ZC525,Yellow/Navy,117,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480583,ZC525,Yellow/Navy,122,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480590,ZC525,Yellow/Navy,77,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480606,ZC525,Yellow/Navy,82,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480613,ZC525,Yellow/Navy,87,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480620,ZC525,Yellow/Navy,92,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042480637,ZC525,Yellow/Navy,97,ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Yellow_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_01_0ZZu3Cg.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Yellow_Navy_02_R0HOWec.jpg
9401042347091,ZC560,Navy,102,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347107,ZC560,Navy,107,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347114,ZC560,Navy,112,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347121,ZC560,Navy,117,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347138,ZC560,Navy,122,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347145,ZC560,Navy,77,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347152,ZC560,Navy,82,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347169,ZC560,Navy,87,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347176,ZC560,Navy,92,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042347183,ZC560,Navy,97,ZC560_Navy_F.jpeg,ZC560_Navy_B.jpeg,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_F.jpeg,https://cdn.fashionbizapps.nz/honeybee/images/ZC560_Navy_B.jpeg
9401042352736,ZC804,Orange/Navy,102,ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg
9401042352743,ZC804,Orange/Navy,107,ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg
9401042352750,ZC804,Orange/Navy,112,ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg
9401042352767,ZC804,Orange/Navy,117,ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg
9401042352774,ZC804,Orange/Navy,122,ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg
9401042352781,ZC804,Orange/Navy,77,ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC804/ZC804_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_01_qITrl8V.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC804_bProduct_Orange_Navy_02_cqtPSE8.jpg
