customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,CATEGORY,CATEGORY_SORT,Product URL
3,1216,Boxer Fine Stripe Shorts,100% Woven Cotton Body  Elastic Waistband,130 GSM,,,Regular-Relaxed Fit,80,12.5,UNDERWEAR,42600,
3,1217,Slub Socks (2 Pairs),92.7% Cotton  6.3% Nylon  1% Elastane,,,,Regular Length,70,11.25,SOCKS,42500,
3,1218,Logo Briefs,95% cotton 5% elastane  elastic waistband,190 GSM,,,Form Fitting,80,8.5,UNDERWEAR,42600,
3,1403,Mesh Belt,100% Plaited Cord,,,,Plaited Elastic,100,13.95,BELTS,42700,
3,1404,Leather Belt,100% Leather,,,,Genuine Leather,44,19.75,BELTS,42700,
3,1405,Braided Leather Belt,100% Braided Leather,,,,Genuine Leather,44,31.75,BELTS,42700,
3,1406,Cotton Webbing Belt,100% Cotton Webbing  Leather Trim,,,,100% Cotton,100,18.5,BELTS,42700,
3,1500,ASC Coffee Cup,Ceramic Coffee Cup  325ml,,,,AS Colour Branded,48,6.25,GADGETS,50000,
3,1501,ASC Drink Bottle,BPA-Free Tritan Drink Bottle  1000ml,,,,AS Colour Branded,24,10.75,GADGETS,50000,
3,1502,ASC Notebook,Debossed PU Cover,,,,AS Colour Branded,140,5.25,GADGETS,50000,
3,1503,ASC Pen,Matte Black  Easy-Grip Body  Ballpoint Tip  Blue Ink,,,,AS Colour Branded,1200,1.82,GADGETS,50000,
3,1504,ASC Keychain,Recycled Polyester Canvas Webbing,,,,AS Colour Branded,840,5.25,GADGETS,50000,
3,1505,ASC Mini BBall Set,Shatter-Proof Polycarbonate  Wide Spring Action Breakaway Steel Rim,,,,AS Colour Branded,4,42.95,GADGETS,50000,
3,1506,ASC Pet Bowl,100% Melamine,,,,AS Colour Branded,30,10.75,GADGETS,50000,
3,1507,ASC Utility Stool,100% Polypropylene,,,,AS Colour Branded,7,16.5,GADGETS,50000,
3,1508,ASC Builders Pencil 10 Pack,Medium Lead,,,,AS Colour Branded,120,2.95,GADGETS,50000,
3,1509,ASC Utility Knife,Aluminium Alloy & Stainless Steel Body  Blade & Belt Clip,,,,AS Colour Branded,100,13.5,GADGETS,50000,
3,1510,ASC Tape Measure,Heavy Duty Construction  Nylon Carry Strap  Custom Black Tape,,,,AS Colour Branded,72,7.5,GADGETS,50000,
3,1511,Tea Towel,100% cotton twill tea towel,200 GSM,,,Perfect for Re-branding,250,4.75,ACCESSORIES,60000,
3,1512,Canvas Flag,100% Cotton Canvas,320 GSM,,,Perfect for Re-branding,150,5.95,ACCESSORIES,60000,
3,1513,Canvas Pennant Flag,100% Cotton Canvas,320 GSM,,,Perfect for Re-branding,150,5.25,ACCESSORIES,60000,
3,1514,ASC Squeegee,Wooden Handle  Stainless Steel Rivets  Black Replaceable Rubber Squeegee,,,,Replaceable Rubber Squeegee,26,27.95,GADGETS,50000,
3,1515,ASC Palette Knife,Wooden Handle  Stainless Steel Blade & Rivets,,,,Stainless Steel Blade,290,7.25,GADGETS,50000,
3,1516,Logo Sticker,Clear Gloss Vinyl,,,,Logo Sticker,1000,1.82,ACCESSORIES,60000,
3,1517,Script Sticker,Clear Gloss Vinyl,,,,Logo Sticker,1000,1.82,ACCESSORIES,60000,
3,1518,AS Sticker,Clear Gloss Vinyl,,,,Logo Sticker,1000,1.82,ACCESSORIES,60000,
3,1519,Canvas Large Flag,100% Cotton Canvas,320 GSM,,,Perfect for Re-branding,80,7.95,ACCESSORIES,60000,
3,1521,ASC Mini Baseball Set,Shatter Proof Polycarbonate  Steel Rim  100% PVC Ball,,,,AS Colour Branded,20,22.5,ACCESSORIES,60000,
3,1522,ASC Corkscrew,Stainless Steel,,,,AS Colour Branded,150,9.95,ACCESSORIES,60000,
3,1523,ASC Lanyard,100% Recycled Polyester Webbing,,,,AS Colour Branded,1200,3.25,ACCESSORIES,60000,
3,3001,Organic Infant Wee Tee,100% Organic Cotton Rib,200 GSM,,,Regular Fit - 200 GSM,144,7.75,KIDS T-SHIRTS,20000,
3,3003,Organic Infant MiniMe OnePiece,100% Organic Cotton Rib,200 GSM,,,Regular Fit - 200 GSM,144,8.5,KIDS T-SHIRTS,20000,
3,3005,Kids Staple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,108,5.95,KIDS T-SHIRTS,20000,
3,3006,Youth Staple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,108,6.75,KIDS T-SHIRTS,20000,
3,3007,Kids Staple L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,7.25,KIDS LONGSLEEVES,21000,
3,3008,Youth Staple L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,7.75,KIDS LONGSLEEVES,21000,
3,3009,Kids Barnard Tank,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,108,5.75,KIDS T-SHIRTS,20000,
3,3010,Youth Barnard Tank,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,108,6.25,KIDS T-SHIRTS,20000,
3,3023,Kids Supply Track Pants,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,30,13.75,KIDS PANTS/SHORTS,21000,
3,3024,Youth Supply Track Pants,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Slim Fit - 290 GSM,30,14.75,KIDS PANTS/SHORTS,21000,
3,3025,Kids Stadium Shorts,100% Cotton,320 GSM,,,Regular Fit - 320 GSM,72,11.25,KIDS PANTS/SHORTS,21000,
3,3026,Youth Stadium Shorts,100% Cotton,320 GSM,,,Regular Fit - 320 GSM,42,13.25,KIDS PANTS/SHORTS,21000,
3,3030,Kids Supply Crew,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,36,11.75,KIDS SWEATSHIRTS,22000,
3,3031,Youth Supply Crew,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,12.75,KIDS SWEATSHIRTS,22000,
3,3032,Kids Supply Hood,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,14.75,KIDS SWEATSHIRTS,22000,
3,3033,Youth Supply Hood,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,15.75,KIDS SWEATSHIRTS,22000,
3,3034,Kids Relax Crew,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,36,15.75,KIDS SWEATSHIRTS,22000,
3,3035,Youth Relax Crew,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,24,19.25,KIDS SWEATSHIRTS,22000,
3,3036,Kids Relax Hood,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,24,19.95,KIDS SWEATSHIRTS,22000,
3,3037,Youth Relax Hood,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,18,22.95,KIDS SWEATSHIRTS,22000,
3,3038,Kids Relax Zip Hood,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,24,21.95,KIDS SWEATSHIRTS,22000,
3,3039,Youth Relax Zip Hood,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,18,24.95,KIDS SWEATSHIRTS,22000,
3,3040,Kids Relax Track Pants,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,30,15.75,KIDS PANTS/SHORTS,21000,
3,3041,Youth Relax Track Pants,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,24,18.75,KIDS PANTS/SHORTS,21000,
3,3042,Kids Relax Track Shorts,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,42,14.5,KIDS PANTS/SHORTS,21000,
3,3043,Youth Relax Track Shorts,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,42,16.5,KIDS PANTS/SHORTS,21000,
3,3060,Kids Classic Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,96,6.75,KIDS T-SHIRTS,20000,
3,3061,Youth Classic Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,72,8.75,KIDS T-SHIRTS,20000,
